ques_level1,ques_level2,ques_type,question,multiple_choice_grid_options,choice_options_text,choice_options_no
Q35,Q35_1,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,institutional requirement,1
Q35,Q35_2,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,journal requirement,2
Q35,Q35_3,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,funder requirement,3
Q35,Q35_4,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,public benefit,4
Q35,Q35_5,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,improving transparency and re-use,5
Q35,Q35_6,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,personal trust in the requester,6
Q35,Q35_7,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,preservation of research outputs,7
Q35,Q35_8,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,increase the impact and visibility of research,8
Q35,Q35_9,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,increase discoverability and accessibility,9
Q35,Q35_10,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,freedom of information request,10
Q35,Q35_11,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,possibility of data citations,11
Q35,Q35_12,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,I do not share my data,12
Q36,Q36_1,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,professional development (ie. promotion),1
Q36,Q36_2,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,increased research impact and visibility (ie. citations),2
Q36,Q36_3,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,requests from data users,3
Q36,Q36_4,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,community norms (ie. expectations from your peers),4
Q36,Q36_5,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,organizational/institutional policy,5
Q36,Q36_6,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,publisher policy,6
Q36,Q36_7,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,funder policy,7
Q36,Q36_8,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,scientific/professional society policy,8
Q36,Q36_9,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,dissemination and recognition of your work/research,9
Q36,Q36_10,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,enhance transparency and re-use,10
Q36,Q36_11,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,personal commitment to open data,11
Q38,,multichoice_single answer,Do you feel that you need further training in RDM?,,yes,1
Q38,,multichoice_single answer,Do you feel that you need further training in RDM?,,no,2
Q39,Q39_1,checkbox,Are there areas that you feel you need help with in regard to RDM (select all that apply)?,,creating time to manage activity,1
Q39,Q39_2,checkbox,Are there areas that you feel you need help with in regard to RDM (select all that apply)?,,developing data management plans,2
Q39,Q39_3,checkbox,Are there areas that you feel you need help with in regard to RDM (select all that apply)?,,copyright/licensing of data,3
Q39,Q39_4,checkbox,Are there areas that you feel you need help with in regard to RDM (select all that apply)?,,understanding data management policies,4
Q39,Q39_5,checkbox,Are there areas that you feel you need help with in regard to RDM (select all that apply)?,,curation of data,5
Q39,Q39_6,checkbox,Are there areas that you feel you need help with in regard to RDM (select all that apply)?,,finding appropriate repositories for deposition,6
Q39,Q39_7,checkbox,Are there areas that you feel you need help with in regard to RDM (select all that apply)?,,none of the above,7
Q40,Q40_1,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,open data/software provider,1
Q40,Q40_2,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,colleague,2
Q40,Q40_3,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,web-search,3
Q40,Q40_4,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,library,4
Q40,Q40_5,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,publisher,5
Q40,Q40_6,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,research office/in-house expertise,6
Q40,Q40_7,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,professional 3rd party service,7
Q40,Q40_8,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,no help needed,8
Q41,,multichoice_single answer,Do you use/have you previously used a data management plan (DMP) to manage the data produced during your research?,,yes,1
Q41,,multichoice_single answer,Do you use/have you previously used a data management plan (DMP) to manage the data produced during your research?,,no,2
Q42,,multichoice_single answer,"If you have not used a DMP, what reasons have prevented you from creating one?",,I have not heard of a DMP before,1
Q42,,multichoice_single answer,"If you have not used a DMP, what reasons have prevented you from creating one?",,I am not required to make a DMP by either my funder/institution,2
Q42,,multichoice_single answer,"If you have not used a DMP, what reasons have prevented you from creating one?",,I do not know how to create a DMP,3
Q42,,multichoice_single answer,"If you have not used a DMP, what reasons have prevented you from creating one?",,I do not think I need a DMP,4
Q42,,multichoice_single answer,"If you have not used a DMP, what reasons have prevented you from creating one?",,I have not had the time to create a DMP,5
Q43,Q43_1,checkbox,"If you have used a DMP, what made you use one (select all that apply)?",,to ensure efficient and effective management of data,1
Q43,Q43_2,checkbox,"If you have used a DMP, what made you use one (select all that apply)?",,good practice when undertaking research,2
Q43,Q43_3,checkbox,"If you have used a DMP, what made you use one (select all that apply)?",,funding requirement,3
Q43,Q43_4,checkbox,"If you have used a DMP, what made you use one (select all that apply)?",,institutional requirement,4
Q43,Q43_5,checkbox,"If you have used a DMP, what made you use one (select all that apply)?",,collaboration requirement,5
Q43,Q43_6,checkbox,"If you have used a DMP, what made you use one (select all that apply)?",,ethics approval requirement,6
Q43,Q43_7,checkbox,"If you have used a DMP, what made you use one (select all that apply)?",,I have never used a DMP,7
Q44,Q44_1,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,data production,1
Q44,Q44_2,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,data storage during project,2
Q44,Q44_3,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,data storage after project,3
Q44,Q44_4,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,selection of data for curation/archiving,4
Q44,Q44_5,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,curation/archiving,5
Q44,Q44_6,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,data sharing,6
Q44,Q44_7,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,metadata,7
Q44,Q44_8,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,additional topics,8
Q45,,multichoice_single answer,"If you have used a DMP before, do you revisit and/or update your DMP throughout your project?",,yes,1
Q45,,multichoice_single answer,"If you have used a DMP before, do you revisit and/or update your DMP throughout your project?",,no,2
Q47,,multichoice_single answer,"If your research was funded by a grant, did the grant allocate funds to cover the costs of: managing data, archiving data, sharing data?",,yes - the allocated funds covered all the costs,1
Q47,,multichoice_single answer,"If your research was funded by a grant, did the grant allocate funds to cover the costs of: managing data, archiving data, sharing data?",,somewhat - the funds covered some of the costs,2
Q47,,multichoice_single answer,"If your research was funded by a grant, did the grant allocate funds to cover the costs of: managing data, archiving data, sharing data?",,no - there were no funds allocated to cover costs,3
Q47,,multichoice_single answer,"If your research was funded by a grant, did the grant allocate funds to cover the costs of: managing data, archiving data, sharing data?",,my research was not funded by a grant,4
Q48,Q48_1,checkbox,"If you share data, which guidelines influence your decisions (select all that apply)?",,national data sharing guidelines,1
Q48,Q48_2,checkbox,"If you share data, which guidelines influence your decisions (select all that apply)?",,Funder data sharing guidelines,2
Q48,Q48_3,checkbox,"If you share data, which guidelines influence your decisions (select all that apply)?",,Publisher data sharing guidelines,3
Q48,Q48_4,checkbox,"If you share data, which guidelines influence your decisions (select all that apply)?",,Institutional data sharing guidelines,4
Q48,Q48_5,checkbox,"If you share data, which guidelines influence your decisions (select all that apply)?",,Common practices within my research field,5
Q48,Q48_6,checkbox,"If you share data, which guidelines influence your decisions (select all that apply)?",,None of the above,6
Q49,Q49_1,checkbox,Does anyone need to approve your data sharing activities (select all that apply)?,,my supervisor,1
Q49,Q49_2,checkbox,Does anyone need to approve your data sharing activities (select all that apply)?,,my institutional library,2
Q49,Q49_3,checkbox,Does anyone need to approve your data sharing activities (select all that apply)?,,my institutional legal committee,3
Q49,Q49_4,checkbox,Does anyone need to approve your data sharing activities (select all that apply)?,,my funder,4
Q49,Q49_5,checkbox,Does anyone need to approve your data sharing activities (select all that apply)?,,no one approves my data sharing activities,5
Q50,Q50_1,checkbox,Are there any formal rules in place at your institution that would stop you sharing data (select all that apply)?,,data privacy,1
Q50,Q50_2,checkbox,Are there any formal rules in place at your institution that would stop you sharing data (select all that apply)?,,national security,2
Q50,Q50_3,checkbox,Are there any formal rules in place at your institution that would stop you sharing data (select all that apply)?,,protection of confidentiality,3
Q50,Q50_4,checkbox,Are there any formal rules in place at your institution that would stop you sharing data (select all that apply)?,,intellectual property rights,4
Q50,Q50_5,checkbox,Are there any formal rules in place at your institution that would stop you sharing data (select all that apply)?,,commercial use and exploitation,5
Q50,Q50_6,checkbox,Are there any formal rules in place at your institution that would stop you sharing data (select all that apply)?,,general institutional policy,6
Q50,Q50_7,checkbox,Are there any formal rules in place at your institution that would stop you sharing data (select all that apply)?,,none of the above,7
Q51,Q51_1,checkbox,Do you make use of open licenses to license the data that you share (select all that apply)?,,Creative Commons,1
Q51,Q51_2,checkbox,Do you make use of open licenses to license the data that you share (select all that apply)?,,Open Software license,2
Q51,Q51_3,checkbox,Do you make use of open licenses to license the data that you share (select all that apply)?,,ODbL,3
Q51,Q51_4,checkbox,Do you make use of open licenses to license the data that you share (select all that apply)?,,PDDL,4
Q51,Q51_5,checkbox,Do you make use of open licenses to license the data that you share (select all that apply)?,,OBC-BY,5
Q51,Q51_6,checkbox,Do you make use of open licenses to license the data that you share (select all that apply)?,,Other,6
Q51,Q51_7,checkbox,Do you make use of open licenses to license the data that you share (select all that apply)?,,I do not make use of open licenses,7
Q52,Q52_1,checkbox,"If yes, do you specify re-use through licenses that you share (select all that apply)?",,require share-alike,1
Q52,Q52_2,checkbox,"If yes, do you specify re-use through licenses that you share (select all that apply)?",,require citation,2
Q52,Q52_3,checkbox,"If yes, do you specify re-use through licenses that you share (select all that apply)?",,prohibit commercial re-use,3
Q53,Q53_1_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,myself,
Q53,Q53_1_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,myself,
Q53,Q53_2_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,my institution/organization,
Q53,Q53_2_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,my institution/organization,
Q53,Q53_3_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,my publisher,
Q53,Q53_3_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,my publisher,
Q53,Q53_4_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,colleagues and collaborators,
Q53,Q53_4_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,colleagues and collaborators,
Q53,Q53_5_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,my funder,
Q53,Q53_5_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,my funder,
Q53,Q53_6_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,no one,
Q53,Q53_6_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,no one,
Q53,Q53_7_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,society,
Q53,Q53_7_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,society,
Q53,Q53_8_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,unsure,
Q53,Q53_8_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,unsure,
Q54,Q54_1_a_1,multiple choice grid,When considering your research activities do you have:,strongly agree,access to all the computing hardware necessary to share your data?,
Q54,Q54_1_b_1,multiple choice grid,When considering your research activities do you have:,agree,access to all the computing hardware necessary to share your data?,
Q54,Q54_1_c_1,multiple choice grid,When considering your research activities do you have:,disagree,access to all the computing hardware necessary to share your data?,
Q54,Q54_1_d_1,multiple choice grid,When considering your research activities do you have:,strongly disagree,access to all the computing hardware necessary to share your data?,
Q54,Q54_2_a_1,multiple choice grid,When considering your research activities do you have:,strongly agree,access to the software you need to share your data?,
Q54,Q54_2_b_1,multiple choice grid,When considering your research activities do you have:,agree,access to the software you need to share your data?,
Q54,Q54_2_c_1,multiple choice grid,When considering your research activities do you have:,disagree,access to the software you need to share your data?,
Q54,Q54_2_d_1,multiple choice grid,When considering your research activities do you have:,strongly disagree,access to the software you need to share your data?,
Q54,Q54_3_a_1,multiple choice grid,When considering your research activities do you have:,strongly agree,access to technical support in your institution for the computer hardware and software you use?,
Q54,Q54_3_b_1,multiple choice grid,When considering your research activities do you have:,agree,access to technical support in your institution for the computer hardware and software you use?,
Q54,Q54_3_c_1,multiple choice grid,When considering your research activities do you have:,disagree,access to technical support in your institution for the computer hardware and software you use?,
Q54,Q54_3_d_1,multiple choice grid,When considering your research activities do you have:,strongly disagree,access to technical support in your institution for the computer hardware and software you use?,
Q55,Q55_1_a_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly agree,unstable power/electricity,
Q55,Q55_1_b_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,agree,unstable power/electricity,
Q55,Q55_1_c_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,disagree,unstable power/electricity,
Q55,Q55_1_d_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly disagree,unstable power/electricity,
Q55,Q55_2_a_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly agree,unstable/low bandwidth,
Q55,Q55_2_b_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,agree,unstable/low bandwidth,
Q55,Q55_2_c_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,disagree,unstable/low bandwidth,
Q55,Q55_2_d_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly disagree,unstable/low bandwidth,
Q55,Q55_3_a_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly agree,need to use personal internet/data and costs associated,
Q55,Q55_3_b_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,agree,need to use personal internet/data and costs associated,
Q55,Q55_3_c_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,disagree,need to use personal internet/data and costs associated,
Q55,Q55_3_d_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly disagree,need to use personal internet/data and costs associated,
Q55,Q55_4_a_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly agree,funds to prepare data for sharing,
Q55,Q55_4_b_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,agree,funds to prepare data for sharing,
Q55,Q55_4_c_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,disagree,funds to prepare data for sharing,
Q55,Q55_4_d_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly disagree,funds to prepare data for sharing,
Q56,,multichoice_single answer,Are you aware of a national mandate for open data in your country?,,yes,1
Q56,,multichoice_single answer,Are you aware of a national mandate for open data in your country?,,no,2
Q57,,multichoice_single answer,How supportive would you be/are you of a national mandate for open research data?,,Very supportive,1
Q57,,multichoice_single answer,How supportive would you be/are you of a national mandate for open research data?,,Supportive,2
Q57,,multichoice_single answer,How supportive would you be/are you of a national mandate for open research data?,,Unsupportive,3
Q57,,multichoice_single answer,How supportive would you be/are you of a national mandate for open research data?,,Very unsupportive,4
Q58,,multichoice_single answer,Should funders make the sharing of research data part of their requirements for awarding grants?,,yes,1
Q58,,multichoice_single answer,Should funders make the sharing of research data part of their requirements for awarding grants?,,no,2
Q60,Q60_1,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,under requirement,1
Q60,Q60_2,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,institutional requirement,2
Q60,Q60_3,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,journal requirement,3
Q60,Q60_4,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,funder requirement,4
Q60,Q60_5,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,public benefit,5
Q60,Q60_6,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,transparency and re-use,6
Q60,Q60_7,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,data preservation,7
Q60,Q60_8,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,increased impact and visibility,8
Q60,Q60_9,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,guaranteed proper credit,9
Q60,Q60_10,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,freedom of information request,10
Q60,Q60_11,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,personal trust in requester,11
Q61,Q61_1,checkbox,What areas do you feel you need help with with regards to making your research data more openly available (select all that apply)?,,copyright/licensing of data,1
Q61,Q61_2,checkbox,What areas do you feel you need help with with regards to making your research data more openly available (select all that apply)?,,finding appropriate repositories for deposition of data,2
Q61,Q61_3,checkbox,What areas do you feel you need help with with regards to making your research data more openly available (select all that apply)?,,curation of data,3
Q61,Q61_4,checkbox,What areas do you feel you need help with with regards to making your research data more openly available (select all that apply)?,,data management policies,4
Q61,Q61_5,checkbox,What areas do you feel you need help with with regards to making your research data more openly available (select all that apply)?,,help with DMPs,5
Q61,Q61_6,checkbox,What areas do you feel you need help with with regards to making your research data more openly available (select all that apply)?,,none,6
,,,,,,
