ques_level1,ques_level2,ques_type,question,multiple_choice_grid_options,choice_options_text,choice_options_no,choice_options_text_ORIG
Q30,,multichoice_single answer,Please respond to the following statement: I have access to mentors that assist me to share my data in compliance with FAIR principles:,,within my disciplinary community (not at my institution),2,within my disciplinary community (not at my institution)
Q30,,multichoice_single answer,Please respond to the following statement: I have access to mentors that assist me to share my data in compliance with FAIR principles:,,I do not have support for FAIR data compliance activities,3,I do not have support for FAIR data compliance activities
Q31,,multichoice_single answer,To what extent do you think that the data you share are in compliance with the FAIR data principles?,,all of the data that I share complies with FAIR data principles,1,all of the data that I share complies with FAIR data principles
Q31,,multichoice_single answer,To what extent do you think that the data you share are in compliance with the FAIR data principles?,,some of the data that I share complies with FAIR data principles,2,some of the data that I share complies with FAIR data principles
Q31,,multichoice_single answer,To what extent do you think that the data you share are in compliance with the FAIR data principles?,,very little of the data that I share complies with FAIR data principles,3,very little of the data that I share complies with FAIR data principles
Q31,,multichoice_single answer,To what extent do you think that the data you share are in compliance with the FAIR data principles?,,none of the data that I share complies with FAIR data principles,4,none of the data that I share complies with FAIR data principles
Q32,,multichoice_single answer,Please select from the following statements that describe your use of metadata:,,I am very confident that the metadata shared with my data are sufficient to enable re-use of the data,1,I am very confident that the metadata shared with my data are sufficient to enable re-use of the data
Q32,,multichoice_single answer,Please select from the following statements that describe your use of metadata:,,I am confident that the metadata shared with my data are sufficient to enable re-use of the data,2,I am confident that the metadata shared with my data are sufficient to enable re-use of the data
Q32,,multichoice_single answer,Please select from the following statements that describe your use of metadata:,,I am unsure that the metadata shared with my data are sufficient to enable re-use of the data,3,I am unsure that the metadata shared with my data are sufficient to enable re-use of the data
Q32,,multichoice_single answer,Please select from the following statements that describe your use of metadata:,,I am very unsure that the metadata shared with my data are sufficient to enable re-use of the data,4,I am very unsure that the metadata shared with my data are sufficient to enable re-use of the data
Q32,,multichoice_single answer,Please select from the following statements that describe your use of metadata:,,I do not share metadata with my data,5,I do not share metadata with my data
Q32,,multichoice_single answer,Please select from the following statements that describe your use of metadata:,,I do not share my data,6,I do not share my data
Q33,Q33_1,checkbox,Please respond to the following statement: I receive assistance on creating metadata to describe my data/datasets from (select all that apply),,my peers,1,my peers
Q33,Q33_2,checkbox,Please respond to the following statement: I receive assistance on creating metadata to describe my data/datasets from (select all that apply),,international collaborators,2,international collaborators
Q33,Q33_3,checkbox,Please respond to the following statement: I receive assistance on creating metadata to describe my data/datasets from (select all that apply),,technical or library support within my institution,3,technical or library support within my institution
Q33,Q33_4,checkbox,Please respond to the following statement: I receive assistance on creating metadata to describe my data/datasets from (select all that apply),,international research networks,4,international research networks
Q33,Q33_5,checkbox,Please respond to the following statement: I receive assistance on creating metadata to describe my data/datasets from (select all that apply),,data stewards,5,data stewards
Q33,Q33_6,checkbox,Please respond to the following statement: I receive assistance on creating metadata to describe my data/datasets from (select all that apply),,other,6,other
Q33,Q33_7,checkbox,Please respond to the following statement: I receive assistance on creating metadata to describe my data/datasets from (select all that apply),,I do not receive help creating metadata,7,I do not receive help creating metadata
Q34,Q34_1,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,more publications,1,more publications
Q34,Q34_2,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,higher citation rate of article,2,higher citation rate of article
Q34,Q34_3,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,full citation of dataset in another article,3,full citation of dataset in another article
Q34,Q34_4,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,co-authorship on papers using my data,4,co-authorship on papers using my data
Q34,Q34_5,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,financial reward,5,financial reward
Q34,Q34_6,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,new collaborations,6,new collaborations
Q34,Q34_7,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,more funding opportunities,7,more funding opportunities
Q34,Q34_8,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,financial benefit,8,financial benefit
Q34,Q34_9,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,new patents,9,new patents
Q34,Q34_10,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,professional development (ie. promotion),10,professional development (ie. promotion)
Q34,Q34_11,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,enhanced visibility in peer community (ie. invitation to speak at conference),11,enhanced visibility in peer community (ie. invitation to speak at conference)
Q34,Q34_12,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,other benefits,12,other benefits
Q34,Q34_13,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,I have not received any benefits from sharing my data,13,I have not received any benefits from sharing my data
Q35,Q35_1,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,institutional requirement,1,institutional requirement
Q35,Q35_2,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,journal requirement,2,journal requirement
Q35,Q35_3,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,funder requirement,3,funder requirement
Q35,Q35_4,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,public benefit,4,public benefit
Q35,Q35_5,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,improving transparency and re-use,5,improving transparency and re-use
Q35,Q35_6,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,personal trust in the requester,6,personal trust in the requester
Q35,Q35_7,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,preservation of research outputs,7,preservation of research outputs
Q35,Q35_8,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,increase the impact and visibility of research,8,increase the impact and visibility of research
Q35,Q35_9,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,increase discoverability and accessibility,9,increase discoverability and accessibility
Q35,Q35_10,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,freedom of information request,10,freedom of information request
Q35,Q35_11,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,possibility of data citations,11,possibility of data citations
Q35,Q35_12,checkbox,"If you have previously shared your research data, what motivated you to share (select all that apply)?",,I do not share my data,12,I do not share my data
Q36,Q36_1,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,professional development (ie. promotion),1,professional development (ie. promotion)
Q36,Q36_2,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,increased research impact and visibility (ie. citations),2,increased research impact and visibility (ie. citations)
Q36,Q36_3,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,requests from data users,3,requests from data users
Q36,Q36_4,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,community norms (ie. expectations from your peers),4,community norms (ie. expectations from your peers)
Q36,Q36_5,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,organizational/institutional policy,5,organizational/institutional policy
Q36,Q36_6,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,publisher policy,6,publisher policy
Q36,Q36_7,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,funder policy,7,funder policy
Q36,Q36_8,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,scientific/professional society policy,8,scientific/professional society policy
Q36,Q36_9,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,dissemination and recognition of your work/research,9,dissemination and recognition of your work/research
Q36,Q36_10,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,enhance transparency and re-use,10,enhance transparency and re-use
Q36,Q36_11,checkbox,Select all the circumstances below that would motivate you to share your data in the future (select all that apply),,personal commitment to open data,11,personal commitment to open data
Q38,,multichoice_single answer,Do you feel that you need further training in RDM?,,yes,1,yes
Q38,,multichoice_single answer,Do you feel that you need further training in RDM?,,no,2,no
Q39,Q39_1,checkbox,Are there areas that you feel you need help with in regard to RDM (select all that apply)?,,creating time to manage activity,1,creating time to manage activity
Q39,Q39_2,checkbox,Are there areas that you feel you need help with in regard to RDM (select all that apply)?,,developing data management plans,2,developing data management plans
Q39,Q39_3,checkbox,Are there areas that you feel you need help with in regard to RDM (select all that apply)?,,copyright/licensing of data,3,copyright/licensing of data
Q39,Q39_4,checkbox,Are there areas that you feel you need help with in regard to RDM (select all that apply)?,,understanding data management policies,4,understanding data management policies
Q39,Q39_5,checkbox,Are there areas that you feel you need help with in regard to RDM (select all that apply)?,,curation of data,5,curation of data
Q39,Q39_6,checkbox,Are there areas that you feel you need help with in regard to RDM (select all that apply)?,,finding appropriate repositories for deposition,6,finding appropriate repositories for deposition
Q39,Q39_7,checkbox,Are there areas that you feel you need help with in regard to RDM (select all that apply)?,,none of the above,7,none of the above
Q40,Q40_1,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,open data/software provider,1,open data/software provider
Q40,Q40_2,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,colleague,2,colleague
Q40,Q40_3,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,web-search,3,web-search
Q40,Q40_4,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,library,4,library
Q40,Q40_5,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,publisher,5,publisher
Q40,Q40_6,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,research office/in-house expertise,6,research office/in-house expertise
Q40,Q40_7,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,professional 3rd party service,7,professional 3rd party service
Q40,Q40_8,checkbox,Where do you look for help in making the data from your research openly available (select all that apply)?,,no help needed,8,no help needed
Q41,,multichoice_single answer,Do you use/have you previously used a data management plan (DMP) to manage the data produced during your research?,,yes,1,yes
Q41,,multichoice_single answer,Do you use/have you previously used a data management plan (DMP) to manage the data produced during your research?,,no,2,no
Q42,,multichoice_single answer,"If you have not used a DMP, what reasons have prevented you from creating one?",,I have not heard of a DMP before,1,I have not heard of a DMP before
Q42,,multichoice_single answer,"If you have not used a DMP, what reasons have prevented you from creating one?",,I am not required to make a DMP by either my funder/institution,2,I am not required to make a DMP by either my funder/institution
Q42,,multichoice_single answer,"If you have not used a DMP, what reasons have prevented you from creating one?",,I do not know how to create a DMP,3,I do not know how to create a DMP
Q42,,multichoice_single answer,"If you have not used a DMP, what reasons have prevented you from creating one?",,I do not think I need a DMP,4,I do not think I need a DMP
Q42,,multichoice_single answer,"If you have not used a DMP, what reasons have prevented you from creating one?",,I have not had the time to create a DMP,5,I have not had the time to create a DMP
Q43,Q43_1,checkbox,"If you have used a DMP, what made you use one (select all that apply)?",,to ensure efficient and effective management of data,1,to ensure efficient and effective management of data
Q43,Q43_2,checkbox,"If you have used a DMP, what made you use one (select all that apply)?",,good practice when undertaking research,2,good practice when undertaking research
Q43,Q43_3,checkbox,"If you have used a DMP, what made you use one (select all that apply)?",,funding requirement,3,funding requirement
Q43,Q43_4,checkbox,"If you have used a DMP, what made you use one (select all that apply)?",,institutional requirement,4,institutional requirement
Q43,Q43_5,checkbox,"If you have used a DMP, what made you use one (select all that apply)?",,collaboration requirement,5,collaboration requirement
Q43,Q43_6,checkbox,"If you have used a DMP, what made you use one (select all that apply)?",,ethics approval requirement,6,ethics approval requirement
Q43,Q43_7,checkbox,"If you have used a DMP, what made you use one (select all that apply)?",,I have never used a DMP,7,I have never used a DMP
Q44,Q44_1,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,data production,1,data production
Q44,Q44_2,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,data storage during project,2,data storage during project
Q44,Q44_3,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,data storage after project,3,data storage after project
Q44,Q44_4,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,selection of data for curation/archiving,4,selection of data for curation/archiving
Q44,Q44_5,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,curation/archiving,5,curation/archiving
Q44,Q44_6,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,data sharing,6,data sharing
Q44,Q44_7,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,metadata,7,metadata
Q44,Q44_8,checkbox,"If you have used a DMP before, what did it cover (select all that apply)?",,additional topics,8,additional topics
Q45,,multichoice_single answer,"If you have used a DMP before, do you revisit and/or update your DMP throughout your project?",,yes,1,yes
Q45,,multichoice_single answer,"If you have used a DMP before, do you revisit and/or update your DMP throughout your project?",,no,2,no
Q47,,multichoice_single answer,"If your research was funded by a grant, did the grant allocate funds to cover the costs of: managing data, archiving data, sharing data?",,yes - the allocated funds covered all the costs,1,yes - the allocated funds covered all the costs
Q47,,multichoice_single answer,"If your research was funded by a grant, did the grant allocate funds to cover the costs of: managing data, archiving data, sharing data?",,somewhat - the funds covered some of the costs,2,somewhat - the funds covered some of the costs
Q47,,multichoice_single answer,"If your research was funded by a grant, did the grant allocate funds to cover the costs of: managing data, archiving data, sharing data?",,no - there were no funds allocated to cover costs,3,no - there were no funds allocated to cover costs
Q47,,multichoice_single answer,"If your research was funded by a grant, did the grant allocate funds to cover the costs of: managing data, archiving data, sharing data?",,my research was not funded by a grant,4,my research was not funded by a grant
Q48,Q48_1,checkbox,"If you share data, which guidelines influence your decisions (select all that apply)?",,national data sharing guidelines,1,national data sharing guidelines
Q48,Q48_2,checkbox,"If you share data, which guidelines influence your decisions (select all that apply)?",,Funder data sharing guidelines,2,Funder data sharing guidelines
Q48,Q48_3,checkbox,"If you share data, which guidelines influence your decisions (select all that apply)?",,Publisher data sharing guidelines,3,Publisher data sharing guidelines
Q48,Q48_4,checkbox,"If you share data, which guidelines influence your decisions (select all that apply)?",,Institutional data sharing guidelines,4,Institutional data sharing guidelines
Q48,Q48_5,checkbox,"If you share data, which guidelines influence your decisions (select all that apply)?",,Common practices within my research field,5,Common practices within my research field
Q48,Q48_6,checkbox,"If you share data, which guidelines influence your decisions (select all that apply)?",,None of the above,6,None of the above
Q49,Q49_1,checkbox,Does anyone need to approve your data sharing activities (select all that apply)?,,my supervisor,1,my supervisor
Q49,Q49_2,checkbox,Does anyone need to approve your data sharing activities (select all that apply)?,,my institutional library,2,my institutional library
Q49,Q49_3,checkbox,Does anyone need to approve your data sharing activities (select all that apply)?,,my institutional legal committee,3,my institutional legal committee
Q49,Q49_4,checkbox,Does anyone need to approve your data sharing activities (select all that apply)?,,my funder,4,my funder
Q49,Q49_5,checkbox,Does anyone need to approve your data sharing activities (select all that apply)?,,no one approves my data sharing activities,5,no one approves my data sharing activities
Q50,Q50_1,checkbox,Are there any formal rules in place at your institution that would stop you sharing data (select all that apply)?,,data privacy,1,data privacy
Q50,Q50_2,checkbox,Are there any formal rules in place at your institution that would stop you sharing data (select all that apply)?,,national security,2,national security
Q50,Q50_3,checkbox,Are there any formal rules in place at your institution that would stop you sharing data (select all that apply)?,,protection of confidentiality,3,protection of confidentiality
Q50,Q50_4,checkbox,Are there any formal rules in place at your institution that would stop you sharing data (select all that apply)?,,intellectual property rights,4,intellectual property rights
Q50,Q50_5,checkbox,Are there any formal rules in place at your institution that would stop you sharing data (select all that apply)?,,commercial use and exploitation,5,commercial use and exploitation
Q50,Q50_6,checkbox,Are there any formal rules in place at your institution that would stop you sharing data (select all that apply)?,,general institutional policy,6,general institutional policy
Q50,Q50_7,checkbox,Are there any formal rules in place at your institution that would stop you sharing data (select all that apply)?,,none of the above,7,none of the above
Q51,Q51_1,checkbox,Do you make use of open licenses to license the data that you share (select all that apply)?,,Creative Commons,1,Creative Commons
Q51,Q51_2,checkbox,Do you make use of open licenses to license the data that you share (select all that apply)?,,Open Software license,2,Open Software license
Q51,Q51_3,checkbox,Do you make use of open licenses to license the data that you share (select all that apply)?,,ODbL,3,ODbL
Q51,Q51_4,checkbox,Do you make use of open licenses to license the data that you share (select all that apply)?,,PDDL,4,PDDL
Q51,Q51_5,checkbox,Do you make use of open licenses to license the data that you share (select all that apply)?,,OBC-BY,5,OBC-BY
Q51,Q51_6,checkbox,Do you make use of open licenses to license the data that you share (select all that apply)?,,Other,6,Other
Q51,Q51_7,checkbox,Do you make use of open licenses to license the data that you share (select all that apply)?,,I do not make use of open licenses,7,I do not make use of open licenses
Q52,Q52_1,checkbox,"If yes, do you specify re-use through licenses that you share (select all that apply)?",,require share-alike,1,require share-alike
Q52,Q52_2,checkbox,"If yes, do you specify re-use through licenses that you share (select all that apply)?",,require citation,2,require citation
Q52,Q52_3,checkbox,"If yes, do you specify re-use through licenses that you share (select all that apply)?",,prohibit commercial re-use,3,prohibit commercial re-use
Q53,Q53_1_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,myself,,myself
Q53,Q53_1_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,myself,,myself
Q53,Q53_2_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,my institution/organization,,my institution/organization
Q53,Q53_2_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,my institution/organization,,my institution/organization
Q53,Q53_3_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,my publisher,,my publisher
Q53,Q53_3_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,my publisher,,my publisher
Q53,Q53_4_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,colleagues and collaborators,,colleagues and collaborators
Q53,Q53_4_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,colleagues and collaborators,,colleagues and collaborators
Q53,Q53_5_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,my funder,,my funder
Q53,Q53_5_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,my funder,,my funder
Q53,Q53_6_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,no one,,no one
Q53,Q53_6_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,no one,,no one
Q53,Q53_7_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,society,,society
Q53,Q53_7_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,society,,society
Q53,Q53_8_a_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,before the publication of the data in an academic journal article,unsure,,unsure
Q53,Q53_8_b_1,multiple choice grid,Who do you think owns the data you have produced in your last research project? Does this differ before publication and after publication?,after the publication of the data in an academic journal article,unsure,,unsure
Q54,Q54_1_a_1,multiple choice grid,When considering your research activities do you have:,strongly agree,access to all the computing hardware necessary to share your data?,,access to all the computing hardware necessary to share your data?
Q54,Q54_1_b_1,multiple choice grid,When considering your research activities do you have:,agree,access to all the computing hardware necessary to share your data?,,access to all the computing hardware necessary to share your data?
Q54,Q54_1_c_1,multiple choice grid,When considering your research activities do you have:,disagree,access to all the computing hardware necessary to share your data?,,access to all the computing hardware necessary to share your data?
Q54,Q54_1_d_1,multiple choice grid,When considering your research activities do you have:,strongly disagree,access to all the computing hardware necessary to share your data?,,access to all the computing hardware necessary to share your data?
Q54,Q54_2_a_1,multiple choice grid,When considering your research activities do you have:,strongly agree,access to the software you need to share your data?,,access to the software you need to share your data?
Q54,Q54_2_b_1,multiple choice grid,When considering your research activities do you have:,agree,access to the software you need to share your data?,,access to the software you need to share your data?
Q54,Q54_2_c_1,multiple choice grid,When considering your research activities do you have:,disagree,access to the software you need to share your data?,,access to the software you need to share your data?
Q54,Q54_2_d_1,multiple choice grid,When considering your research activities do you have:,strongly disagree,access to the software you need to share your data?,,access to the software you need to share your data?
Q54,Q54_3_a_1,multiple choice grid,When considering your research activities do you have:,strongly agree,access to technical support in your institution for the computer hardware and software you use?,,access to technical support in your institution for the computer hardware and software you use?
Q54,Q54_3_b_1,multiple choice grid,When considering your research activities do you have:,agree,access to technical support in your institution for the computer hardware and software you use?,,access to technical support in your institution for the computer hardware and software you use?
Q54,Q54_3_c_1,multiple choice grid,When considering your research activities do you have:,disagree,access to technical support in your institution for the computer hardware and software you use?,,access to technical support in your institution for the computer hardware and software you use?
Q54,Q54_3_d_1,multiple choice grid,When considering your research activities do you have:,strongly disagree,access to technical support in your institution for the computer hardware and software you use?,,access to technical support in your institution for the computer hardware and software you use?
Q55,Q55_1_a_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly agree,unstable power/electricity,,unstable power/electricity
Q55,Q55_1_b_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,agree,unstable power/electricity,,unstable power/electricity
Q55,Q55_1_c_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,disagree,unstable power/electricity,,unstable power/electricity
Q55,Q55_1_d_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly disagree,unstable power/electricity,,unstable power/electricity
Q55,Q55_2_a_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly agree,unstable/low bandwidth,,unstable/low bandwidth
Q55,Q55_2_b_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,agree,unstable/low bandwidth,,unstable/low bandwidth
Q55,Q55_2_c_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,disagree,unstable/low bandwidth,,unstable/low bandwidth
Q55,Q55_2_d_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly disagree,unstable/low bandwidth,,unstable/low bandwidth
Q55,Q55_3_a_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly agree,need to use personal internet/data and costs associated,,need to use personal internet/data and costs associated
Q55,Q55_3_b_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,agree,need to use personal internet/data and costs associated,,need to use personal internet/data and costs associated
Q55,Q55_3_c_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,disagree,need to use personal internet/data and costs associated,,need to use personal internet/data and costs associated
Q55,Q55_3_d_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly disagree,need to use personal internet/data and costs associated,,need to use personal internet/data and costs associated
Q55,Q55_4_a_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly agree,funds to prepare data for sharing,,funds to prepare data for sharing
Q55,Q55_4_b_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,agree,funds to prepare data for sharing,,funds to prepare data for sharing
Q55,Q55_4_c_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,disagree,funds to prepare data for sharing,,funds to prepare data for sharing
Q55,Q55_4_d_1,multiple choice grid,Do any other these issues impact on your ability to share your data effectively?,strongly disagree,funds to prepare data for sharing,,funds to prepare data for sharing
Q56,,multichoice_single answer,Are you aware of a national mandate for open data in your country?,,yes,1,yes
Q56,,multichoice_single answer,Are you aware of a national mandate for open data in your country?,,no,2,no
Q57,,multichoice_single answer,How supportive would you be/are you of a national mandate for open research data?,,Very supportive,1,Very supportive
Q57,,multichoice_single answer,How supportive would you be/are you of a national mandate for open research data?,,Supportive,2,Supportive
Q57,,multichoice_single answer,How supportive would you be/are you of a national mandate for open research data?,,Unsupportive,3,Unsupportive
Q57,,multichoice_single answer,How supportive would you be/are you of a national mandate for open research data?,,Very unsupportive,4,Very unsupportive
Q58,,multichoice_single answer,Should funders make the sharing of research data part of their requirements for awarding grants?,,yes,1,yes
Q58,,multichoice_single answer,Should funders make the sharing of research data part of their requirements for awarding grants?,,no,2,no
Q60,Q60_1,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,under requirement,1,under requirement
Q60,Q60_2,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,institutional requirement,2,institutional requirement
Q60,Q60_3,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,journal requirement,3,journal requirement
Q60,Q60_4,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,funder requirement,4,funder requirement
Q60,Q60_5,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,public benefit,5,public benefit
Q60,Q60_6,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,transparency and re-use,6,transparency and re-use
Q60,Q60_7,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,data preservation,7,data preservation
Q60,Q60_8,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,increased impact and visibility,8,increased impact and visibility
Q60,Q60_9,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,guaranteed proper credit,9,guaranteed proper credit
Q60,Q60_10,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,freedom of information request,10,freedom of information request
Q60,Q60_11,checkbox,"What would motivate you to make (more) data available in a repository, data centre or other online form (select all that apply)?",,personal trust in requester,11,personal trust in requester
Q61,Q61_1,checkbox,What areas do you feel you need help with with regards to making your research data more openly available (select all that apply)?,,copyright/licensing of data,1,copyright/licensing of data
Q61,Q61_2,checkbox,What areas do you feel you need help with with regards to making your research data more openly available (select all that apply)?,,finding appropriate repositories for deposition of data,2,finding appropriate repositories for deposition of data
Q61,Q61_3,checkbox,What areas do you feel you need help with with regards to making your research data more openly available (select all that apply)?,,curation of data,3,curation of data
Q61,Q61_4,checkbox,What areas do you feel you need help with with regards to making your research data more openly available (select all that apply)?,,data management policies,4,data management policies
Q61,Q61_5,checkbox,What areas do you feel you need help with with regards to making your research data more openly available (select all that apply)?,,help with DMPs,5,help with DMPs
Q61,Q61_6,checkbox,What areas do you feel you need help with with regards to making your research data more openly available (select all that apply)?,,none,6,none
